goos: darwin
goarch: amd64
pkg: github.com/christianrpetrin/queue-tests
Benchmark/10000-4      	    5000	    315583 ns/op	  253400 B/op	   10471 allocs/op
Benchmark/10000-4      	    5000	    319479 ns/op	  253400 B/op	   10471 allocs/op
Benchmark/10000-4      	    5000	    313110 ns/op	  253400 B/op	   10471 allocs/op
Benchmark/100000-4     	     500	   3693192 ns/op	 2525629 B/op	  104689 allocs/op
Benchmark/100000-4     	     500	   3676642 ns/op	 2525629 B/op	  104689 allocs/op
Benchmark/100000-4     	     500	   3733508 ns/op	 2525629 B/op	  104689 allocs/op
Benchmark/100000-4     	     500	   3757625 ns/op	 2525629 B/op	  104689 allocs/op
Benchmark/100000-4     	     500	   3706664 ns/op	 2525629 B/op	  104689 allocs/op
Benchmark/100000-4     	     500	   3658825 ns/op	 2525629 B/op	  104689 allocs/op
Benchmark/100000-4     	     500	   3728569 ns/op	 2525629 B/op	  104689 allocs/op
Benchmark/100000-4     	     500	   3746098 ns/op	 2525629 B/op	  104689 allocs/op
Benchmark/100000-4     	     500	   3703258 ns/op	 2525629 B/op	  104689 allocs/op
Benchmark/100000-4     	     500	   3655983 ns/op	 2525629 B/op	  104689 allocs/op
Benchmark/100000-4     	     500	   4935516 ns/op	 2525629 B/op	  104689 allocs/op
Benchmark/100000-4     	     300	   4909598 ns/op	 2525630 B/op	  104689 allocs/op
Benchmark/100000-4     	     500	   3840419 ns/op	 2525629 B/op	  104689 allocs/op
Benchmark/100000-4     	     500	   3869690 ns/op	 2525629 B/op	  104689 allocs/op
Benchmark/100000-4     	     500	   3884812 ns/op	 2525629 B/op	  104689 allocs/op
Benchmark/100000-4     	     500	   4015922 ns/op	 2525629 B/op	  104689 allocs/op
Benchmark/100000-4     	     300	   3846321 ns/op	 2525629 B/op	  104689 allocs/op
Benchmark/100000-4     	     500	   3830349 ns/op	 2525629 B/op	  104689 allocs/op
Benchmark/100000-4     	     500	   3724490 ns/op	 2525629 B/op	  104689 allocs/op
Benchmark/100000-4     	     300	   3903239 ns/op	 2525629 B/op	  104689 allocs/op
PASS
ok  	github.com/christianrpetrin/queue-tests	274.064s
